,channel,media,bias,similarity
451,The Paley Center for Media,The Daily Centrist,Least Biased,0.6363636363636364
452,Face the Nation,Fash the Nation,Questionable,0.8666666666666667
453,National Constitution Center,National Institutes of Health,Pro Science,0.7017543859649122
454,OSSA,GOPUSA,Right,0.6
455,Middle Ground,Middle East Forum,Questionable,0.6
456,SWAY'S UNIVERSE,KUOW NPR,Left-Center,0.34782608695652173
457,TEDMED,TED,Left-Center,0.6666666666666666
458,metaRising,America Rising PAC,Right,0.6428571428571429
459,VegSource,InsideSources,Right-Center,0.6363636363636364
460,CBS,TBS,Left-Center,0.6666666666666666
461,Gresham College,The College Fix,Right,0.6
462,CBN News,CBC News,Left-Center,0.875
463,Breakfast Club Power 105.1 FM,Breaking News House,Questionable,0.375
464,Nick Cannon,BackChannel,Left-Center,0.5454545454545454
465,SkillsUSA,Stock News USA,Least Biased,0.5217391304347826
466,The Dave Ramsey Show,The Common Sense Show,Conspiracy-Pseudoscience,0.5853658536585366
467,CenturaHealth,Natural Health 365,Conspiracy-Pseudoscience,0.6451612903225806
468,PTReviewer,BizPac Review,Right,0.6086956521739131
469,Turnah81,TheJournal.ie,Least Biased,0.47619047619047616
470,VATA,STAT,Least Biased,0.5
471,Adam Fields DC,Army Times,Least Biased,0.5
472,SMHCS,MIC,Left-Center,0.5
473,Out of the Doldrums,Our Land of the Free,Satire,0.5641025641025641
474,Hippo Education,Inside Edition,Left-Center,0.5517241379310345
475,Henry Schein Dental,Psych Central,Pro Science,0.5625
476,Canada,Canadaland,Left-Center,0.75
477,USC,MSNBC,Left,0.5
478,JoshuaG,Mosaic,Pro Science,0.46153846153846156
479,Team Coco,The Dodo,Left,0.5882352941176471
480,Fire Films,Vera Files,Least Biased,0.6
481,WGN RADIO VIDEO,WGN News,Left-Center,0.34782608695652173
482,Payments Canada,FactsCan,Least Biased,0.5217391304347826
483,TradingCoachUK,Trending Politics,Questionable,0.5161290322580645
484,TEAM APHRODITE,Al DIA,Left,0.4
485,16x9onglobal,Mongabay,Left-Center,0.5
486,PierceCollegeDist11,The College Fix,Right,0.5294117647058824
487,Understood,Universe Today,Pro Science,0.5833333333333334
488,Quantum Gravity Research,Institute for Creation Research,Conspiracy-Pseudoscience,0.5818181818181818
489,Olivier BOSSARD,Gainesville Sun,Least Biased,0.4
490,WIRED,TED,Left-Center,0.5
491,Performance Coaching,HermanCain.com,Right,0.5294117647058824
492,CMX,CT Mirror,Left-Center,0.3333333333333333
493,THE JORDAN HARBINGER SHOW,The Next Web,Left-Center,0.2702702702702703
494,WORLD.MINDS,WION,Least Biased,0.4
495,NBC,CNBC,Left-Center,0.8571428571428571
496,CinemaNewsGR,Charisma News,Conspiracy-Pseudoscience,0.64
497,LaughPlanet,Highline,Left-Center,0.5263157894736842
498,J.D. Funari,B.T. Denmark,Right-Center,0.5217391304347826
499,Harvard University,Harvard Gazette,Least Biased,0.6060606060606061
500,asj584,News24,Least Biased,0.3333333333333333
501,Watch What Happens Live with Andy Cohen,Watts Up with that,Conspiracy-Pseudoscience,0.45614035087719296
502,Bobblehead Conan,Cold Dead Hands,Right,0.5161290322580645
503,What The Fit,The City,Left-Center,0.6
504,NFL,WOFL,Least Biased,0.5714285714285714
505,Oscars,NewsWars,Questionable,0.5714285714285714
506,FanboyFilms,Freakonomics,Left-Center,0.5217391304347826
507,cocksandballs123,Crooks and Liars,Left,0.5
508,Top Se7en,Above Top Secret,Conspiracy-Pseudoscience,0.56
509,James Thomas,News Thump,Satire,0.5454545454545454
510,Full Frontal with Samantha Bee,We Hunted the Mammoth,Left,0.43137254901960786
511,Andrew DC TV,Press TV,Questionable,0.5
512,University of Houston,University Business,Left-Center,0.7
513,Grow Successful,Got Questions,Conspiracy-Pseudoscience,0.5
514,MulliganBrothers,Mothership,Left-Center,0.5384615384615384
515,MotivationHub,Live Action,Conspiracy-Pseudoscience,0.5
516,Goalcast,Global Post,Left-Center,0.631578947368421
517,The University of Texas at Austin,University Business,Left-Center,0.5769230769230769
518,The Democrats,The Star Democrat,Least Biased,0.8
519,The University of Edinburgh,The Times of India,Right-Center,0.5777777777777777
520,Pax Aeterna,Aleteia,Right-Center,0.5555555555555556
521,Harvard Magazine,Nova Magazine,Left,0.7586206896551724
522,Maharishi International University,New Internationalist,Left,0.6296296296296297
523,John Schroter,The Frontier,Left-Center,0.56
524,Leandro Borges,Lead Stories,Least Biased,0.6923076923076923
525,ColdFusion,Fusion,Left-Center,0.75
526,mgnfi,Humanium,Left-Center,0.46153846153846156
527,ritm 1,Grist,Left-Center,0.5454545454545454
528,Ashish Pandey,This Magazine,Left,0.5384615384615384
529,Conando Russia,Crooks and Liars,Left,0.5333333333333333
530,Top 30 Youtubers,The Blue Route,Left,0.4666666666666667
531,Gervais Junkie,Conservative Tribune,Questionable,0.5294117647058824
532,SportsGamingCubing,BoingBoing,Left,0.5
533,The Trigger Mechanism,The Courier Mail,Right-Center,0.6486486486486487
534,Crescendo,GreenMedInfo,Conspiracy-Pseudoscience,0.5714285714285714
535,Hilly Dee,Hill Reporter,Left,0.6363636363636364
536,Leo Mak,Henry Makow,Conspiracy-Pseudoscience,0.5555555555555556
537,Universal Comedy,Universe Today,Pro Science,0.6
538,Television Academy,Heterodox Academy,Right-Center,0.6285714285714286
539,pilkipediaTV,Wikipedia,Least Biased,0.7619047619047619
540,Channel 4,Channel 4 News,Left-Center,0.782608695652174
541,Eva Collins Alonso,Rolling Stone,Left,0.5161290322580645
